Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1973,Wenatchee R,175.89000000000001,17413.11,17589.0
Chinook,1973,Wind R,1461.0,0.0,1461.0
Chinook,1973,Yankee Fork Salmon R,0.0,1839.0,1839.0
Chinook,1974,Bear Valley Cr,0.0,1350.0,1350.0
Chinook,1974,Big Cr,0.0,414.0,414.0
Chinook,1974,Camas Cr,0.0,1239.0,1239.0
Chinook,1974,Catherine Creek,0.0,2259.0,2259.0
Chinook,1974,Clackamas R,1471.3200000000002,724.6800000000001,2196.0
Chinook,1974,Clatskanie R,418.5,46.5,465.0
Chinook,1974,East Fork Salmon River ,0.0,2922.0,2922.0
Chinook,1974,East Fork South Fork Salmon River,0.0,825.0,825.0
Chinook,1974,Entiat R,0.0,822.0,822.0
Chinook,1974,Imnaha River,0.0,6972.0,6972.0
Chinook,1974,Lemhi R,0.0,1422.0,1422.0
Chinook,1974,Loon Cr,0.0,351.0,351.0
Chinook,1974,Lostine/Wallowa,0.0,2841.0,2841.0
Chinook,1974,Marsh Cr,0.0,1638.0,1638.0
Chinook,1974,McKenzie R,0.0,14628.0,14628.0
Chinook,1974,Methow R,0.0,3579.0,3579.0
Chinook,1974,Minam River,0.0,1377.0,1377.0
Chinook,1974,Salmon R Lower Mainstem,0.0,231.0,231.0
Chinook,1974,Secesh R,0.0,222.0,222.0
Chinook,1974,South Fork Salmon Mainstem,0.0,1512.0,1512.0
Chinook,1974,Sulphur Cr,0.0,555.0,555.0
Chinook,1974,Upper Grande Ronde River,0.0,833.0,833.0
Chinook,1974,Upper Salmon River Mainstem,0.0,3270.0,3270.0
Chinook,1974,Valley Cr,0.0,1404.0,1404.0
Chinook,1974,Wenaha River,0.0,1413.0,1413.0
Chinook,1974,Wenatchee R,0.0,5967.0,5967.0
Chinook,1974,Wind R,1830.0,0.0,1830.0
Chinook,1974,Yankee Fork Salmon R,0.0,675.0,675.0
Chinook,1975,Bear Valley Cr,0.0,2178.0,2178.0
Chinook,1975,Big Cr,0.0,1140.0,1140.0
Chinook,1975,Camas Cr,0.0,921.0,921.0
Chinook,1975,Catherine Creek,0.0,1197.0,1197.0
Chinook,1975,Clackamas R,1184.5600000000002,583.44,1768.0
Chinook,1975,Clatskanie R,1101.6,122.4,1224.0
Chinook,1975,East Fork Salmon River ,0.0,2745.0,2745.0
Chinook,1975,East Fork South Fork Salmon River,0.0,534.0,534.0
Chinook,1975,Entiat R,0.0,1458.0,1458.0
Chinook,1975,Imnaha River,0.0,3750.0,3750.0
Chinook,1975,Lemhi R,0.0,2190.0,2190.0
